BYON,-4.3163843
BZH,4.7709613
C,11.077886
CAAP,8.012876
CABO,7.4902706
CACI,12.156134
CADE,11.512196
CAE,24.828283
CAG,9.58736
CAH,14.7060175
CAL,3.5545855
CALX,56.95588
CANG,-8.32
CAPL,103.95455
CARR,21.753288
CARS,26.049181
CAT,15.351694
CATO,2.5153847
CAVA,215.86
CB,11.319356
CBAN,11.496598
CBL,-80.28205
CBNA,14.848485
CBRE,22.63
CBT,9.961085
CBU,16.317831
CBZ,27.348534
CC,7.2554116
CCI,34.399254
CCIF,5.923077
CCJ,36.847458
CCK,12.705968
CCL,13.499999
CCM,-31.859997
CCO,-9.642858
CCRD,34.70968
CCS,5.747981
CCU,15.792683
CDE,8.666667
CDLR,9.582474
CDP,20.435116
CDRE,25.059702
CE,5.4844074
CEPU,13.610527
CF,12.605179
CFG,11.5969
CFR,16.300814
CGAU,10.474576
CHCT,46.95
CHD,28.238605
CHE,21.946163
CHGG,1.5376344
CHH,21.457916
CHMI,4.229885
CHPT,-4.0005264
CHT,25.509804
CHWY,58.53333
CI,9.572477
CIA,12.046511
CIB,7.2525425
CIEN,30.911764
CIG,13.857143
CIM,7.9537573
CINT,23.03125
CIO,-10.468085
CION,8.606896
CIVI,5.4209943
CL,23.178757
CLB,16.469387
CLCO,3.7692306
CLDT,-67.58333
CLF,29.102566
CLH,26.266264
CLPR,11.15
CLS,26.797754
CLVT,6.5405407
CLW,22.561981
CLX,21.570644
CM,11.329609
CMA,11.937956
CMBT,7.7209306
CMC,10.59149
CMCM,31.944443
CMG,39.32061
CMI,16.293074
CMP,22.716982
CMRE,3.5612245
CMS,19.969275
CMTG,5.9591837
CNA,9.339659
CNC,8.193182
CNF,37.33667
CNH,11.094017
CNI,17.536257
CNK,14.222798
CNM,20.804081
CNMD,12.630165
CNNE,-26.219177
CNO,10.639038
CNP,19.706898
CNQ,11.571428
CNR,4.39774
CNS,24.047356
CNX,16.203297
CODI,8.421052
COF,12.784163
COHR,18.954128
COLD,48.02174
COMP,224.5
CON,18.368
COOK,13.294118
COP,12.196763
COR,14.757334
COTY,9.209678
COUR,23.617645
CP,21.502779
CPA,5.6383104
CPAC,41.202858
CPAY,16.403967
CPF,11.269841
CPK,19.88
CPNG,52.80851
CPRI,9.770641
CPS,19.613333
CPT,74.00617
CQP,14.430232
CR,28.018677
CRBG,5.818506
CRC,10.569196
CRGY,7.8784533
CRH,16.530478
CRI,10.389221
CRK,44.409092
CRL,15.857978
CRM,27.83468
CRS,24.92848
CSAN,20.56
CSL,14.665791
CSR,-168.6842
CSTM,7.1438355
CSV,14.981618
CTO,172.81819
CTOS,154.0
CTRA,12.077253
CTRE,18.74436
CTRI,26.614285
CTS,19.324896
CTVA,19.551401
CUBE,23.488766
CUBI,8.675896
CUK,12.529762
CULP,16.64516
CURB,55.36364
CURV,20.758621
CUZ,120.36
CVE,9.412904
CVEO,50.57407
CVI,96.90477
CVLG,5.2789254
CVNA,95.02128
CVS,9.796296
CVX,14.213768
CW,26.728657
CWAN,58.981136
CWH,21.1875
CWK,9.864408
CWT,19.900002
CX,8.945206
CXM,21.119047
CXT,13.179138
CXW,21.452383
CYD,15.384616
CYH,10.028571
D,16.991123
DAC,3.081848
DAL,8.5470085
DAN,13.427351
DAO,60.352943
DAR,13.117057
DAVA,12.631068
DAY,29.253393
DB,7.122807
DBD,9.008114
DBI,6.3733335
DBRG,30.4
DCI,17.240602
DCO,15.014706
DD,18.59909
DDD,-27.333332
DDL,14.84
DDS,18.458302
DE,22.101038
DEA,41.5
DEC,25.962963
DECK,23.045599
DEI,-84.789474
DELL,12.510638
DEO,15.392757
DESP,18.538464
DFH,6.342262
DFIN,11.948276
DFS,15.314421
DG,12.329583
DGX,17.647541
DHI,7.908349
DHR,25.08711
DHT,6.452381
DHX,26.199999
DIN,4.3367004
DINO,11.597444
DIS,21.09903
DK,-6.912863
DKL,16.886078
DKS,15.157895
DLB,21.409449
DLNG,3.7981648
DLR,136.66115
DLX,5.053413
DM,-3.3787878
DNA,-1.3575909
DNB,8.495496
DNOW,20.750002
DOC,78.96
DOCN,21.243242
DOCS,60.815125
DOLE,9.605635
DOUG,21.666666
DOV,21.31137
DOW,12.70418
DQ,-17.015625
DRD,16.279411
DRH,17.489363
DRI,18.107008
DSX,1.9782609
DT,39.920002
DTC,2.4411764
DTE,18.306519
DTM,22.390907
DUK,18.225552
DV,47.130436
DVA,12.635314
DVN,8.405829
DX,25.563637
DXC,6.0
DY,18.360813
E,8.549999
EAF,-4.464286
EARN,5.525424
EAT,23.366129
EB,-54.166668
