Symbol,shortName,forwardPE,currentRatio,shortRatio,marketCap,sector,industry
HL,Hecla Mining Company,19.333332,1.082,1.09,3298157568,Basic Materials,Other Precious Metals & Mining
HLF,Herbalife Ltd.,4.1758795,0.93,8.18,840947136,Consumer Defensive,Packaged Foods
HLI,"Houlihan Lokey, Inc.",25.405045,1.355,1.48,12010893312,Financial Services,Capital Markets
HLIO,"Helios Technologies, Inc.",18.283018,3.029,3.79,1288475392,Industrials,Specialty Industrial Machinery
HLLY,Holley Inc.,8.67742,2.931,5.83,319311072,Consumer Cyclical,Auto Parts
HLT,Hilton Worldwide Holdings Inc.,32.476845,0.696,2.97,62432509952,Consumer Cyclical,Lodging
HLX,"Helix Energy Solutions Group, I",10.381578,2.289,5.52,1200100480,Energy,Oil & Gas Equipment & Services
HMC,"Honda Motor Company, Ltd.",5.47379,1.384,3.45,41716514816,Consumer Cyclical,Auto Manufacturers
HMN,Horace Mann Educators Corporati,10.783198,3.535,5.85,1621760896,Financial Services,Insurance - Property & Casualty
HMY,Harmony Gold Mining Company Lim,7.5664334,1.562,1.65,6988573184,Basic Materials,Gold
HNI,HNI Corporation,13.385057,1.098,4.2,2226710528,Industrials,Business Equipment & Supplies
HOG,"Harley-Davidson, Inc.",6.4596577,1.405,5.63,3363979264,Consumer Cyclical,Recreational Vehicles
HOUS,Anywhere Real Estate Inc.,15.541667,0.418,3.03,415007264,Real Estate,Real Estate Services
HOV,"Hovnanian Enterprises, Inc.",168.84721,3.792,2.68,717655680,Consumer Cyclical,Residential Construction
HP,"Helmerich & Payne, Inc.",7.3529415,2.811,8.55,2608688128,Energy,Oil & Gas Drilling
HPE,Hewlett Packard Enterprise Comp,10.066667,1.288,2.03,27765487616,Technology,Communication Equipment
HPP,"Hudson Pacific Properties, Inc.",-2.173913,2.163,6.26,434870976,Real Estate,REIT - Office
HPQ,HP Inc.,9.619445,0.724,4.49,32475947008,Technology,Computer Hardware
HR,Healthcare Realty Trust Incorpo,-39.238094,0.553,5.18,5841203712,Real Estate,REIT - Healthcare Facilities
HRB,"H&R Block, Inc.",10.169261,0.734,12.23,6996287488,Consumer Cyclical,Personal Services
HRI,Herc Holdings Inc.,11.230822,1.381,3.54,4665848320,Industrials,Rental & Leasing Services
HRL,Hormel Foods Corporation,17.544378,2.32,4.51,16278235136,Consumer Defensive,Packaged Foods
HRTG,"Heritage Insurance Holdings, In",4.990991,0.749,3.77,339980928,Financial Services,Insurance - Property & Casualty
HSY,The Hershey Company,20.578573,0.957,3.69,34988765184,Consumer Defensive,Confectioners
HTGC,"Hercules Capital, Inc.",10.735,2.574,5.42,3717637888,Financial Services,Asset Management
HUBB,Hubbell Inc,21.302485,1.64,3.0,20258484224,Industrials,Electrical Equipment & Parts
HUBS,"HubSpot, Inc.",79.56517,1.674,1.97,37885575168,Technology,Software - Application
HUM,Humana Inc.,15.196556,1.76,3.08,30874261504,Healthcare,Healthcare Plans
HUN,Huntsman Corporation,20.952381,1.358,2.07,3044518400,Basic Materials,Chemicals
HUYA,HUYA Inc.,14.592592,2.135,1.36,889817472,Communication Services,Entertainment
HVT,"Haverty Furniture Companies, In",11.365591,1.815,12.33,347171648,Consumer Cyclical,Home Improvement Retail
HWM,Howmet Aerospace Inc.,40.955837,2.17,3.32,52584136704,Industrials,Aerospace & Defense
HXL,Hexcel Corporation,24.948206,2.211,2.18,5080460800,Industrials,Aerospace & Defense
HY,"Hyster-Yale, Inc.",9.660482,1.357,7.89,911651968,Industrials,Farm & Heavy Construction Machinery
HZO,"MarineMax, Inc.  (FL)",8.115151,1.19,6.35,608101504,Consumer Cyclical,Specialty Retail
IAG,Iamgold Corporation,7.1499996,1.214,0.89,3294714112,Basic Materials,Gold
IBM,International Business Machines,24.644676,1.04,4.35,241776181248,Technology,Information Technology Services
IBP,"Installed Building Products, In",13.95447,2.986,4.82,4616076288,Consumer Cyclical,Residential Construction
IBTA,"Ibotta, Inc.",23.901098,2.724,9.44,1793735552,Technology,Software - Application
ICE,Intercontinental Exchange Inc.,24.906528,0.995,1.76,96452222976,Financial Services,Financial Data & Stock Exchanges
ICL,ICL Group Ltd.,14.690476,1.561,1.72,8267984896,Basic Materials,Agricultural Inputs
IDA,"IDACORP, Inc.",19.588335,1.41,3.64,6164173312,Utilities,Utilities - Regulated Electric
IDT,IDT Corporation,32.413334,1.6,2.12,1227616128,Communication Services,Telecom Services
IEX,IDEX Corporation,22.650232,2.529,3.05,14624795648,Industrials,Specialty Industrial Machinery
IFF,International Flavors & Fragran,17.329718,1.845,3.06,20426434560,Basic Materials,Specialty Chemicals
IFN,"India Fund, Inc. (The)",-9.713375,1.333,0.96,578385216,Financial Services,Asset Management
IGT,International Game Technology,17.95,2.363,2.03,3623351296,Consumer Cyclical,Gambling
IH,iHuman Inc.,9.842106,2.747,0.47,97654016,Consumer Defensive,Education & Training Services
IHG,Intercontinental Hotels Group,23.2243,0.969,2.98,19654610944,Consumer Cyclical,Lodging
IHS,IHS Holding Limited,19.0,1.152,0.66,1266220800,Communication Services,Telecom Services
IIIN,"Insteel Industries, Inc.",10.380783,4.088,2.88,566790592,Industrials,Metal Fabrication
IIPR,Innovative Industrial Propertie,12.401023,2.586,4.12,2058871808,Real Estate,REIT - Industrial
IMAX,Imax Corporation,20.496063,3.92,7.1,1380217344,Communication Services,Entertainment
INFA,Informatica Inc.,15.682927,1.822,3.51,5833971712,Technology,Software - Infrastructure
INFY,Infosys Limited,24.905882,2.132,10.44,87697784832,Technology,Information Technology Services
INGM,Ingram Micro Holding Corporatio,7.4501166,1.403,1.86,5473794048,Technology,Information Technology Services
INGR,Ingredion Incorporated,11.528354,2.619,2.79,8220930048,Consumer Defensive,Packaged Foods
INN,"Summit Hotel Properties, Inc.",-57.454548,0.815,6.57,685201792,Real Estate,REIT - Hotel & Motel
INSP,"Inspire Medical Systems, Inc.",89.55556,7.128,4.21,5260978176,Healthcare,Medical Devices
INSW,"International Seaways, Inc.",3.936763,3.604,3.24,1806851584,Energy,Oil & Gas Midstream
INVH,Invitation Homes Inc.,43.094593,1.514,3.52,19536005120,Real Estate,REIT - Residential
INVX,"Innovex International, Inc.",21.649351,3.875,4.79,1120974208,Energy,Oil & Gas Equipment & Services
IONQ,"IonQ, Inc.",-36.06818,12.232,0.67,6868281856,Technology,Computer Hardware
