Symbol,shortName,forwardPE,currentRatio,shortRatio,marketCap,sector,industry,sentiment,confidence
KMPR,Kemper Corporation,10.243378,0.99,2.44,3959364352,Financial Services,Insurance - Property & Casualty,neutral,0.4241849184036255
KMT,Kennametal Inc.,14.975758,2.438,4.44,1883732224,Industrials,Tools & Accessories,neutral,0.4241849184036255
KMX,CarMax Inc,16.433687,2.394,4.11,9297711104,Consumer Cyclical,Auto & Truck Dealerships,neutral,0.4241849184036255
KN,Knowles Corporation,15.12605,2.016,5.44,1565549952,Technology,Electronic Components,neutral,0.4241849184036255
KNF,Knife Riv Holding Co.,19.77017,2.939,6.04,4580913152,Basic Materials,Building Materials,neutral,0.4241849184036255
KNOP,KNOT Offshore Partners LP,16.952381,0.343,3.57,248757136,Energy,Oil & Gas Midstream,neutral,0.4241849184036255
KNSL,"Kinsale Capital Group, Inc.",26.730082,0.214,8.97,11184925696,Financial Services,Insurance - Property & Casualty,neutral,0.4241849184036255
KNTK,Kinetik Holdings Inc.,17.96352,0.663,2.08,2549911296,Energy,Oil & Gas Midstream,neutral,0.4241849184036255
KNX,Knight-Swift Transportation Hol,21.47619,0.882,3.22,7308454912,Industrials,Trucking,neutral,0.4241849184036255
KO,Coca-Cola Company (The),23.316498,1.1,2.63,298070671360,Consumer Defensive,Beverages - Non-Alcoholic,neutral,0.4241849184036255
KOF,Coca Cola Femsa S.A.B. de C.V.,13.580152,1.214,1.18,19419029504,Consumer Defensive,Beverages - Non-Alcoholic,neutral,0.4241849184036255
KOP,Koppers Holdings Inc.,7.330317,2.638,5.16,648327296,Basic Materials,Specialty Chemicals,neutral,0.4241849184036255
KORE,"KORE Group Holdings, Inc.",-2.0588236,1.232,5.14,48048280,Communication Services,Telecom Services,neutral,0.4241849184036255
KOS,Kosmos Energy Ltd.,3.052239,0.762,3.79,977528448,Energy,Oil & Gas E&P,neutral,0.4241849184036255
KR,Kroger Company (The),15.824236,0.948,5.0,47917277184,Consumer Defensive,Grocery Stores,neutral,0.4241849184036255
KRC,Kilroy Realty Corporation,29.282948,0.689,9.29,4511506432,Real Estate,REIT - Office,neutral,0.4241849184036255
KREF,KKR Real Estate Finance Trust I,8.590191,12.719,5.56,611592512,Real Estate,REIT - Mortgage,neutral,0.4241849184036255
KRG,Kite Realty Group Trust,64.87143,1.525,6.94,5100950528,Real Estate,REIT - Retail,neutral,0.4241849184036255
KRMN,Karman Holdings Inc.,84.56412,3.341,1.93,6758107648,Industrials,Aerospace & Defense,neutral,0.4241849184036255
KRO,Kronos Worldwide Inc,6.2762885,2.617,3.43,700339136,Basic Materials,Specialty Chemicals,neutral,0.4241849184036255
KRP,Kimbell Royalty Partners,18.81579,6.015,2.45,1542798464,Energy,Oil & Gas E&P,neutral,0.4241849184036255
KSS,Kohl's Corporation,6.7675,1.091,5.07,1516488448,Consumer Cyclical,Department Stores,neutral,0.4241849184036255
KT,KT Corporation,6.3333335,1.101,2.83,10175081472,Communication Services,Telecom Services,neutral,0.4241849184036255
KTB,"Kontoor Brands, Inc.",11.455695,2.781,5.17,3519814656,Consumer Cyclical,Apparel Manufacturing,neutral,0.4241849184036255
KVUE,Kenvue Inc.,18.184425,0.857,1.67,42593202176,Consumer Defensive,Household & Personal Products,neutral,0.4241849184036255
KVYO,"Klaviyo, Inc. Series A",58.535713,5.224,1.78,9749722112,Technology,Software - Infrastructure,neutral,0.4241849184036255
KW,Kennedy-Wilson Holdings Inc.,-7.0046725,1.02,3.0,1036505984,Real Estate,Real Estate Services,neutral,0.4241849184036255
KWR,Quaker Houghton,13.573463,2.447,10.21,2107097472,Basic Materials,Specialty Chemicals,neutral,0.4241849184036255
KYN,Kayne Anderson MLP/Midstream In,4.253229,0.011,0.52,2071675136,Financial Services,Asset Management,neutral,0.4241849184036255
L,Loews Corporation,31.644825,0.488,3.08,19243892736,Financial Services,Insurance - Property & Casualty,neutral,0.4241849184036255
LAC,Lithium Americas Corp.,-11.189655,10.349,6.74,710346688,Basic Materials,Other Industrial Metals & Mining,neutral,0.4241849184036255
